Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Baseline_Sales,Holiday_Uplift_Index,Fuel_Sensitivity,Fuel_Sensitivity_Index,FS_RollingCorr_12w,Temp_Band,MA_4w,MA_12w,STD_4w,STD_12w,CV_12w,Z_12w,Sales_Growth_Rate,Shock_Recovery,Holiday_Uplift_Score,Inflation_Adj_Sales,Basket_Size_Proxy,Resilience_Index
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,1546957.3856390978,0.063,639071.1119751165,1.3015702587573363,,Mild,,,,,,,,0.0,-0.005,1643690.9,202774.6,
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,1546957.3856390978,0.061,644410.2982731553,1.3124443633151444,,Cold,1642824.17,,1225.7413209156064,,,,-0.10546143438525668,866.7299999999814,0.071,1640824.0657230504,202560.75,
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,1546957.3856390978,0.042,641196.5672235482,1.3058990874054166,,Cold,1632538.8366666667,,17835.791718514614,,,,-1.8264340639669752,20570.666666666744,-0.005,1610497.376016941,198861.11,
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,1546957.3856390978,-0.089,550459.8164779383,1.1210992209527426,,Mild,1576836.025,,112353.41511397276,,,,-12.54618942010498,167108.43499999982,-0.005,1408238.0427071163,173911.62,0.929
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,1546957.3856390978,0.005,592307.3066666666,1.2063283098798745,,Mild,1554614.9699999997,,103135.00254832554,,,,10.29128542486708,0.0,-0.005,1552939.7016226607,191809.36,0.938
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,1546957.3856390978,-0.069,539760.6261717286,1.0993086132497776,,Mild,1504011.0075,1550282.0616666665,95360.05083899511,102931.28365484245,0.06639519749340568,-1.075867974580113,-7.413467634445703,64469.41749999998,-0.005,1437605.5581882116,177589.64,0.934
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,1546957.3856390978,-0.048,541366.0992647059,1.1025784152951184,,Mild,1469147.9125,1539172.5942857142,62599.4571500743,98452.94724273354,0.06396485203040062,-0.677042243553901,2.29060419157463,0.0,-0.005,1471684.2371115,181657.51,0.936
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,1546957.3856390978,-0.092,514066.588579795,1.0469786071981884,,Mild,1467823.495,1522329.76,64308.38101632065,102848.04093150569,0.06755963368377275,-1.1463498860276642,-4.623778601382611,63393.575000000186,-0.005,1404951.150561509,173258.07,0.932
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,1546957.3856390978,0.031,586601.059212946,1.1947066267280286,,Mild,1477863.895,1530400.7066666665,82871.76229599727,99205.67626846352,0.0648233340695074,0.6508455540246023,13.566953913941116,0.0,-0.005,1597055.6723136841,204273.6,0.935
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,1546957.3856390978,-0.001,557912.8267148015,1.1362784651412874,,Mild,1504333.13,1531902.489,83458.04335445474,93652.49664286085,0.061134763678069096,0.14432120321941572,-3.106629180111342,0.0,-0.005,1548892.7821268723,197927.58,0.939
